level	maxUnlookCake	maxPieceCake	maxUnlookFruit	maxPieceCake	time	1Star	2Star	3Star
1	4	4	5	3	60	100	115	130
2	4	4	0	0	60	110	125	140
3	4	4	0	0	60	120	135	150
4	4	4	0	0	60	130	145	160
5	4	4	0	0	60	160	180	200
6	5	4	0	0	60	140	160	180
7	5	5	0	0	60	150	170	190
8	5	5	0	0	60	160	180	200
9	5	5	0	0	60	180	200	220
10	5	5	0	0	60	200	220	240
11	5	4	6	5	60	100	130	160
12	5	4	6	5	60	110	140	170
13	5	4	6	5	60	120	150	180
14	5	4	6	5	60	130	160	190
15	5	4	7	5	60	140	170	200
16	5	4	7	5	60	150	180	210
17	5	4	7	5	60	160	190	220
18	5	4	7	5	60	200	220	240
19	5	5	7	5	60	150	180	210
20	5	5	8	5	60	160	190	220
21	5	5	8	5	60	170	200	230
22	5	5	8	5	60	180	200	230
23	5	5	8	5	60	190	210	240
24	5	5	8	5	60	210	230	250
25	6	5	8	5	80	250	280	310
26	6	5	8	5	60	170	190	210
27	6	5	8	5	60	170	200	230
28	6	5	8	5	60	180	210	240
29	6	5	8	5	60	180	220	250
30	6	6	9	5	80	230	260	290
31	6	6	9	5	60	140	160	180
32	6	6	9	5	60	150	160	180
33	6	6	9	5	60	160	180	200
34	6	6	9	5	60	170	190	210
35	7	6	9	5	80	220	240	260
36	7	6	9	5	60	160	180	200
37	7	6	9	5	60	160	190	220
38	7	6	9	5	60	170	190	220
39	7	6	9	5	60	170	200	230
40	7	7	10	5	80	200	230	260
41	7	7	10	5	60	150	170	190
42	7	7	10	5	60	160	180	200
43	7	7	10	5	60	170	190	210
44	7	7	10	5	60	180	200	220
45	8	7	10	5	80	200	220	240
46	8	7	10	5	60	160	180	200
47	8	7	10	5	60	165	180	200
48	8	7	10	5	60	170	190	210
49	8	7	10	5	60	175	190	210
50	8	7	10	5	80	180	210	240
